Department,Course Code,Human Health,Data and Computation,AI,Clean Energy and Materials,Climate,Science and Society,Faculty of Arts: Ways of Knowing,Notes
BIOL,BIOL_V 499,,,,,,,,
BIOT,BIOT_V 280,,,,,,,,
BIOT,BIOT_V 380,,,,,,,,
CAPS,CAPS_V 205,,,,,,,,
CAPS,CAPS_V 210,,,,,,,,
CAPS,CAPS_V 301,,,,,,,,
CAPS,CAPS_V 303,,,,,,,,
CAPS,CAPS_V 390,,,,,,,,
CAPS,CAPS_V 398,,,,,,,,
CAPS,CAPS_V 399,,,,,,,,
CAPS,CAPS_V 421,,,,,,,,
CAPS,CAPS_V 422,,,,,,,,
CAPS,CAPS_V 423,,,,,,,,
CAPS,CAPS_V 448,,,,,,,,
CAPS,CAPS_V 449,,,,,,,,
CAPS,CAPS_V 498,,,,,,,,
CAPS,CAPS_V 499,,,,,,,,
CHEM,CHEM_V 111,,,,,,,,
CHEM,CHEM_V 115,,,,,,,,
CHEM,CHEM_V 121,,,,,,,,
CHEM,CHEM_V 141,,,,,,,,
CHEM,CHEM_V 154,,,,,,,,
CHEM,CHEM_V 203,,,,,,,,
CHEM,CHEM_V 208,,,,,,,,
CHEM,CHEM_V 211,,,,,,,,
CHEM,CHEM_V 215,,,,,,,,
CHEM,CHEM_V 223,,,,,,,,
CHEM,CHEM_V 225,,,,,,,,
CHEM,CHEM_V 233,,,,,,,,
CHEM,CHEM_V 235,,,,,,,,
CHEM,CHEM_V 250,,,,,,,,
CHEM,CHEM_V 260,,,,,,,,
CHEM,CHEM_V 300,,,,,,,,
CHEM,CHEM_V 301,,,,,,,,
CHEM,CHEM_V 304,,,,,,,,
CHEM,CHEM_V 312,,,,,,,,
CHEM,CHEM_V 315,,,,,,,,
CHEM,CHEM_V 318,,,,,,,,
CHEM,CHEM_V 319,,,,,,,,
CHEM,CHEM_V 325,,,,,,,,
CHEM,CHEM_V 330,,,,,,,,
CHEM,CHEM_V 335,,,,,,,,
CHEM,CHEM_V 341,,,,,,,,
CHEM,CHEM_V 345,,,,,,,,
CHEM,CHEM_V 355,,,,,,,,
CHEM,CHEM_V 398,,,,,,,,
CHEM,CHEM_V 399,,,,,,,,
CHEM,CHEM_V 404,,,,,,,,
CHEM,CHEM_V 405,,,,,,,,
CHEM,CHEM_V 406,,,,,,,,
CHEM,CHEM_V 413,,,,,,,,
CHEM,CHEM_V 427,,,,,,,,
CHEM,CHEM_V 445,,,,,,,,
CHEM,CHEM_V 448,,,,,,,,
CHEM,CHEM_V 449,,,,,,,,
CHEM,CHEM_V 460,,,,,,,,
CHEM,CHEM_V 473,,,,,,,,
CHEM,CHEM_V 498,,,,,,,,
CHEM,CHEM_V 499,,,,,,,,
COGS,COGS_V 200,,,,,,,,
COGS,COGS_V 300,,,,,,,,
COGS,COGS_V 303,,,,,,,,
COGS,COGS_V 401,,,,,,,,
COGS,COGS_V 402,,,,,,,,
CPSC,CPSC_V 100,,,,,,,,
CPSC,CPSC_V 103,,,,,,,,
CPSC,CPSC_V 110,,,,,,,,
CPSC,CPSC_V 121,,,,,,,,
CPSC,CPSC_V 210,,,,,,,,
CPSC,CPSC_V 213,,,,,,,,
CPSC,CPSC_V 221,,,,,,,,
CPSC,CPSC_V 259,,,,,,,,
CPSC,CPSC_V 298,,,,,,,,
CPSC,CPSC_V 299,,,,,,,,
CPSC,CPSC_V 302,,,,,,,,
CPSC,CPSC_V 304,,,,,,,,
CPSC,CPSC_V 310,,,,,,,,
CPSC,CPSC_V 311,,,,,,,,
CPSC,CPSC_V 312,,,,,,,,
CPSC,CPSC_V 313,,,,,,,,
CPSC,CPSC_V 314,,,,,,,,
CPSC,CPSC_V 317,,,,,,,,
CPSC,CPSC_V 320,,,,,,,,
CPSC,CPSC_V 322,,,,,,,,
CPSC,CPSC_V 330,,,,,,,,
CPSC,CPSC_V 340,,,,,,,,
CPSC,CPSC_V 344,,,,,,,,
CPSC,CPSC_V 349,,,,,,,,
CPSC,CPSC_V 368,,,,,,,,
CPSC,CPSC_V 398,,,,,,,,
CPSC,CPSC_V 399,,,,,,,,
CPSC,CPSC_V 402,,,,,,,,
CPSC,CPSC_V 404,,,,,,,,
CPSC,CPSC_V 416,,,,,,,,
CPSC,CPSC_V 418,,,,,,,,
CPSC,CPSC_V 421,,,,,,,,
CPSC,CPSC_V 422,,,,,,,,
CPSC,CPSC_V 425,,,,,,,,
CPSC,CPSC_V 427,,,,,,,,
CPSC,CPSC_V 430,,,,,,,,
CPSC,CPSC_V 436,,,,,,,,
CPSC,CPSC_V 447,,,,,,,,
CPSC,CPSC_V 448,,,,,,,,
CPSC,CPSC_V 449,,,,,,,,
CPSC,CPSC_V 499,,,,,,,,
DSCI,DSCI_V 100,,,,,,,,
DSCI,DSCI_V 430,,,,,,,,
PHAS,ENPH_V 259,,,,,,,,
PHAS,ENPH_V 352,,,,,,,,
PHAS,ENPH_V 353,,,,,,,,
PHAS,ENPH_V 459,,,,,,,,
PHAS,ENPH_V 479,,,,,,,,
PHAS,ENPH_V 480,,,,,,,,
